iter	MAE
327	5.521408518
328	5.514972678
329	5.51185367
330	5.509533105
331	5.505568049
332	5.502418913
333	5.499714995
334	5.496027212
335	5.495090154
336	5.490956904
337	5.489864629
338	5.485324871
339	5.479862578
340	5.47743118
341	5.473500347
342	5.468982151
343	5.466245924
344	5.462792947
345	5.45997864
346	5.457290197
347	5.45616335
348	5.454544969
349	5.45200806
350	5.449509609
351	5.448273485
352	5.44650468
353	5.444740634
354	5.442561775
355	5.441805895
356	5.44015657
357	5.436043058
358	5.434538014
359	5.431957827
360	5.431356903
361	5.42980508
362	5.427956324
363	5.426312991
364	5.421109781
365	5.419438989
366	5.416885491
367	5.414627629
368	5.413396063
369	5.411850587
370	5.408581325
371	5.405516178
372	5.4031305
373	5.400014606
374	5.396116691
375	5.393971402
376	5.390962249
377	5.388230669
378	5.386258637
379	5.382970169
380	5.379890336
381	5.378269354
382	5.376211896
383	5.374703602
384	5.373920901
385	5.369868151
386	5.365742911
387	5.361776567
388	5.35942973
389	5.356555155
390	5.354584076
391	5.352725126
392	5.350956901
393	5.349152236
394	5.346943128
395	5.34447975
396	5.343554288
397	5.339388393
398	5.336310804
399	5.333108717
400	5.331702601
401	5.329846326
402	5.329150365
403	5.327453338
404	5.325281628
405	5.323876494
406	5.317624835
407	5.316912854
408	5.315357933
409	5.312846168
410	5.310750774
411	5.307165996
412	5.305607377
413	5.301305509
414	5.300491246
415	5.293111687
416	5.28967756
417	5.286994044
418	5.286413229
419	5.284691987
420	5.279260273
421	5.273717951
422	5.271784763
423	5.270104724
424	5.267103523
425	5.265099001
426	5.262843542
427	5.261318246
428	5.259476337
429	5.254948763
430	5.252592188
431	5.252092872
432	5.249703194
433	5.245468361
434	5.243162379
435	5.240818914
436	5.238544349
437	5.236873781
438	5.234806902
439	5.233366436
440	5.228901007
441	5.226405991
442	5.226197691
443	5.225235172
444	5.221092238
445	5.218641848
446	5.217039025
447	5.215267304
448	5.212634675
449	5.211613489
450	5.210354601
451	5.207862174
452	5.204795458
453	5.202543209
454	5.199427217
455	5.197036575
456	5.195094961
457	5.194025121
458	5.193526269
459	5.191016265
460	5.190510573
461	5.189660348
462	5.187218891
463	5.185255421
464	5.181966211
465	5.178954966
466	5.176528059
467	5.175214756
468	5.173661703
469	5.171687545
470	5.171091378
471	5.168004336
472	5.165835126
473	5.163497115
474	5.161567712
475	5.160370696
476	5.157238242
477	5.154389614
478	5.153186739
479	5.151903156
480	5.148990329
481	5.147600746
482	5.144126829
483	5.141227863
484	5.138371282
485	5.135283045
486	5.131703224
487	5.130082053
488	5.127870505
489	5.12708474
490	5.123535121
491	5.122454643
492	5.118758084
493	5.117224475
494	5.114519871
495	5.112329466
496	5.111111526
497	5.108043534
498	5.104364751
499	5.103304893
