iter	Logloss
0	0.6616632975
1	0.6321600618
2	0.6059752279
3	0.5822705729
4	0.5582495931
5	0.5367243587
6	0.5167508822
7	0.4983712305
8	0.481259082
9	0.4651939551
10	0.4499393132
11	0.4363600391
12	0.4230533464
13	0.4100177083
14	0.398523527
15	0.3873089941
16	0.3777662972
17	0.368632085
18	0.3596707048
19	0.3521908512
20	0.3447275716
21	0.3378337402
22	0.3312893555
23	0.3254707959
24	0.3199170605
25	0.314770013
26	0.3097621566
27	0.3049697933
28	0.3007439046
29	0.2961688932
30	0.2916651335
31	0.2877695085
32	0.2845137728
33	0.2811038037
34	0.2777732829
35	0.2747785368
36	0.2718981934
37	0.2689388379
38	0.2665203727
39	0.264212137
40	0.2617320768
41	0.2594760693
42	0.2573628158
43	0.2555584831
44	0.2535476318
45	0.2519824788
46	0.2503583415
47	0.24888875
48	0.2473083789
49	0.2455777816
50	0.2442779557
51	0.2429165039
52	0.24169625
53	0.2404253451
54	0.2392661426
55	0.2382629948
56	0.2369510205
57	0.2358970768
58	0.2348947087
59	0.2339643669
60	0.2330687598
61	0.2321592985
62	0.2311847689
63	0.2302799227
64	0.2294504801
65	0.2286071362
66	0.2279004451
67	0.2270241805
68	0.2262868522
69	0.2254990885
70	0.2248697713
71	0.2241514299
72	0.2233649007
73	0.2226509302
74	0.2219724219
75	0.221411075
76	0.2208585075
77	0.2203514697
78	0.2198333651
79	0.2192677376
80	0.2187347046
81	0.2182563013
82	0.2176482153
83	0.2172330981
84	0.2166445646
85	0.2160463086
86	0.2154935693
87	0.2150647013
88	0.2147129215
89	0.2143690828
90	0.2139231038
91	0.2135655827
92	0.2131191073
93	0.212629742
94	0.2122595654
95	0.2118842017
96	0.2115642261
97	0.2111281112
98	0.2106897298
99	0.2103033293
100	0.2098360425
101	0.2093878459
102	0.2089590251
103	0.2086124748
104	0.2082549951
105	0.2078306283
106	0.2075178255
107	0.2072115715
108	0.2068189998
109	0.2065357251
110	0.2061820418
111	0.2059460775
112	0.2056602116
113	0.2053885588
114	0.2050119922
115	0.2047521777
116	0.2044399723
117	0.2040730241
118	0.2037750122
119	0.2034277205
120	0.203142937
121	0.2027907023
122	0.2024591675
123	0.2020302303
124	0.2017200041
125	0.20149229
126	0.2011184497
127	0.2008878288
128	0.2005560099
129	0.2002504687
130	0.1998976253
131	0.1995817326
132	0.1993488534
133	0.1991134888
134	0.1989219141
135	0.1985903882
136	0.1983237565
137	0.1980756665
138	0.1978246436
139	0.1975376562
140	0.1972685295
141	0.1968838013
142	0.1966760286
143	0.1964622852
144	0.1961240723
145	0.1958953117
146	0.1957074821
147	0.1954470744
148	0.1951770622
149	0.1949462288
150	0.1947130802
151	0.1945136825
152	0.1941905575
153	0.1939809733
154	0.193751119
155	0.1935426074
156	0.1933311434
157	0.1931549414
158	0.1929705005
159	0.1927329411
160	0.1925214111
161	0.1923007056
162	0.1920878328
163	0.1918496745
164	0.1916560319
165	0.1914536125
166	0.1912306128
167	0.1909680046
168	0.1907887459
169	0.1905276636
170	0.1903557739
171	0.1901835132
172	0.1900184123
173	0.1898563086
174	0.1896550122
175	0.1894606307
176	0.1891834961
177	0.1889686418
178	0.1887479427
179	0.1885476799
180	0.1883820858
181	0.188217561
182	0.1879024398
183	0.187747946
184	0.1876021427
185	0.1874060034
186	0.1872483748
187	0.1870176693
188	0.1867912443
189	0.1866239925
190	0.1864185913
191	0.1861407812
192	0.1859915861
193	0.1858525374
